recept,kategorija,podkategorija
3603,sladice,torte
12619,sladice,pecivo
8100,sladice,pecivo
5814,sladice,ostalo
4364,sladice,pecivo
9431,sladice,piškoti
4026,zelenjavne jedi,
6549,kruh,
1176,sladice,potice
1773,priloge,cmoki
4551,sladice,pecivo
6221,sladice,pecivo
2789,mesne jedi,perutnina
5851,sladice,piškoti
10070,sladice,pecivo
11564,sladice,ostalo
3309,mesne jedi,mešano meso
2785,sladice,pecivo
6783,sladice,torte
4670,sladice,pecivo
4255,sladice,potice
10197,zelenjavne jedi,
5684,sladice,piškoti
3866,sladice,pecivo
17686,sladice,ostalo
1426,sladice,pecivo
1553,mesne jedi,ostalo
17588,sladice,piškoti
14811,sladice,pecivo
6359,sladice,torte
13180,sladice,pecivo
14831,mesne jedi,perutnina
2096,sladice,pecivo
11044,sladice,torte
13505,sladice,pecivo
13016,sladice,pecivo
13379,sladice,piškoti
1190,sladice,pecivo
4440,kruh,
65,mesne jedi,sesekljano meso
4377,sladice,piškoti
11201,priloge,krompir
14392,mesne jedi,sesekljano meso
14137,sladice,palačinke
1667,sladice,potice
13276,mesne jedi,perutnina
16159,sladice,torte
4123,sladice,pecivo
16802,sladice,torte
380,sladice,pecivo
1670,enolončnice,
3726,ozimnica,pijače
6140,mesne jedi,govedina
1276,sladice,torte
11629,kruh,
393,sladice,pecivo
4000,sladice,pecivo
7199,mesne jedi,mešano meso
6780,sladice,pecivo
2706,sladice,pecivo
5698,kruh,
12726,sladice,pecivo
17720,sladice,pecivo
19139,sladice,pecivo
4178,sladice,torte
9457,sladice,piškoti
2192,enolončnice,
15352,sladice,pecivo
4663,sladice,pecivo
1509,sladice,piškoti
2728,sladice,slano pecivo
13535,sladice,piškoti
1736,sladice,pecivo
10540,sladice,pecivo
5044,mesne jedi,govedina
4842,sladice,ostalo
4108,sladice,pecivo
12037,sladice,piškoti
141,sladice,ostalo
1896,sladice,ostalo
11754,sladice,pecivo
378,sladice,potice
9450,kruh,
410,sladice,pecivo
10855,sladice,piškoti
16994,sladice,piškoti
12581,sladice,ostalo
12221,sladice,pecivo
1929,juhe in zakuhe,mesne
1660,mesne jedi,mešano meso
2535,sladice,pecivo
11585,sladice,pecivo
6880,sladice,pecivo
3158,ozimnica,pijače
14346,sladice,piškoti
5737,sladice,pecivo
5428,juhe in zakuhe,zelenjavne juhe
1957,sladice,pecivo
5600,sladice,pecivo
3387,ostale jedi,
3081,sladice,pecivo
4104,sladice,pecivo
5692,sladice,pecivo
14759,sladice,torte
3867,sladice,pecivo
3618,sladice,palačinke
1501,sladice,pecivo
2054,priloge,cmoki
4342,sladice,piškoti
3914,ozimnica,slani shranki
13212,sladice,ostalo
10189,sladice,pecivo
301,sladice,pecivo
9777,zelenjavne jedi,
13838,sladice,ostalo
10155,sladice,torte
5554,sladice,pecivo
11757,sladice,torte
10273,sladice,torte
7200,sladice,pecivo
2482,sladice,pecivo
10373,napitki,brezalkoholni
10578,kruh,
2022,sladice,piškoti
12615,kruh,
4543,sladice,pecivo
3152,sladice,pecivo
11562,mesne jedi,ostalo
9494,predjedi,hladne
5510,sladice,ostalo
6599,kruh,
10247,sladice,pecivo
2271,sladice,pecivo
9713,sladice,pecivo
4972,sladice,pecivo
5928,enolončnice,
1371,mesne jedi,sesekljano meso
3232,sladice,pecivo
2889,sladice,potice
6439,sladice,pecivo
6415,enolončnice,
373,sladice,piškoti
14695,priloge,cmoki
14387,sladice,ostalo
4142,zelenjavne jedi,
10079,sladice,torte
6387,sladice,palačinke
13284,sirove jedi,
854,ostale jedi,
1390,sladice,potice
7062,ozimnica,slani shranki
5858,sladice,piškoti
13432,mesne jedi,sesekljano meso
8139,sladice,torte
4413,sladice,ostalo
13727,sladice,torte
10851,sladice,piškoti
11944,kruh,
6670,predjedi,hladne
5350,sladice,pecivo
8194,eksotika,ostale dežele
17130,sladice,pecivo
16858,sladice,torte
12038,sladice,pecivo
17146,sladice,torte
6801,juhe in zakuhe,ostale juhe
9342,sladice,pecivo
457,sladice,pecivo
10205,mesne jedi,perutnina
11694,juhe in zakuhe,zelenjavne juhe
16806,sladice,pecivo
11144,sladice,piškoti
9745,sladice,ostalo
1520,sladice,pecivo
10408,sladice,ostalo
12857,sladice,pecivo
10602,mesne jedi,mešano meso
1699,sladice,pecivo
6766,mesne jedi,mešano meso
4139,ozimnica,slani shranki
3262,prikuhe,
2481,sladice,pecivo
4956,juhe in zakuhe,zelenjavne juhe
2430,mesne jedi,perutnina
12210,sladice,pecivo
16782,ozimnica,slani shranki
3263,kruh,
10410,kruh,
5163,mesne jedi,svinjina
9677,sladice,pecivo
5076,sirove jedi,
6213,sladice,pecivo
5228,kruh,
11067,sladice,palačinke
4630,sladice,ostalo
3332,sladice,pecivo
16589,sladice,pecivo
683,sladice,pecivo
6827,sladice,pecivo
6285,testenine,
5513,sladice,pecivo
10074,sladice,pecivo
17221,sladice,kreme za torte in peciva
1758,kruh,
12041,kruh,
9797,sladice,torte
1855,sladice,ostalo
13328,predjedi,tople
4608,priloge,ostalo
18282,sladice,piškoti
1926,sladice,piškoti
4828,sladice,piškoti
5886,sladice,pecivo
1340,sladice,ostalo
2032,sladice,pecivo
13038,sladice,pecivo
4372,sladice,piškoti
9409,juhe in zakuhe,zelenjavne juhe
13726,sladice,pecivo
5766,sladice,ostalo
5691,sladice,torte
5047,sladice,pecivo
4461,morska hrana,ostalo
6419,ozimnica,pijače
4037,sladice,pecivo
7125,sladice,pecivo
14123,sladice,torte
