id,naslov,objava,letoobjave,zahtevnost,priprava,kolicina,stmnenj,stfoto,zadnjafoto,letofoto,zdravajed
3603,Torta Nutella,20.4.2004,,3,75,,1079,477,6.9.2016,,
12619,Čokoladno - mascarponejeve kocke,16.5.2009,,2,45,,513,91,18.5.2016,,
8100,Skutino pecivo za požrešne sosede,12.10.2006,,1,,,299,59,17.4.2016,,
5814,"Biskvit za torto, ki nikoli ne pade dol",4.12.2005,,2,45,,339,246,29.1.2016,,
4364,Super dobra jabolčna pita,29.11.2004,,1,90,,171,62,28.5.2016,,
9431,Moji mehki medenjaki,22.12.2006,,2,,,329,141,28.12.2015,,
4026,Njami bučke s sirom,13.9.2004,,1,,,240,35,16.8.2016,,
6549,Odlično testo za pizzo,5.5.2006,,2,90,dva pekača,314,46,8.3.2016,,
1176,Orehova potica,10.5.2001,,3,4+ ur,,261,65,28.4.2016,,
1773,Kruhovi cmoki,27.3.2002,,1,,,136,12,19.2.2016,,
4551,Kokosove rezine,24.1.2005,,2,60,,278,44,19.2.2016,,
6221,Najboljši marmorni kolač,12.3.2006,,2,,,229,54,18.1.2016,,
2789,Piščančji žur,12.8.2003,,1,,,352,16,2.2.2014,,
5851,Razpokani piškoti,11.12.2005,,1,60,50 kos,265,55,28.12.2014,,
10070,Božanska čokoladna rulada,16.5.2007,,2,60,,197,25,31.1.2016,,
11564,»Narkočok« Muffini,22.7.2008,,3,30,12 kom,182,51,15.2.2016,,
3309,Čufti v paradižnikovi omaki,28.2.2004,,3,,4 osebe,121,7,8.12.2013,,
2785,Babičina dobrota,11.8.2003,,1,45,,266,44,18.7.2016,,
6783,Malinovo - jogurtova sanjsko fina torta,20.6.2006,,3,90,,150,62,17.8.2016,,
4670,Pustni krofi,15.2.2005,,2,90,za 24 kosov,410,93,28.2.2016,,
4255,Kokosova potica,31.10.2004,,2,180,velik pekač ali okrogel model,205,35,1.1.2016,,
10197,Bučni polpeti,1.7.2007,,2,45,9 polpetov,133,18,23.8.2015,,
5684,Čokoladni huzarski krapki,1.11.2005,,3,,32 piškotov,337,89,20.3.2015,,
3866,Kinder pingvin (2.verzija),21.7.2004,,2,120,,207,47,16.8.2016,,
17686,Cake pops,29.9.2012,,3,120,cca. 40 kosov,140,114,14.6.2016,,
1426,Pecivo ''na suho'',7.11.2001,,1,,,276,27,2.12.2014,,
1553,Sarma a la Riko,12.12.2001,,3,,,113,8,5.1.2016,,
17588,"Kokosovi piškotki- ""Biscottini cocco""",2.9.2012,,2,45,približno 60 piškotkov,176,41,15.2.2016,,
14811,Jogurtovo pecivo s sadjem,26.2.2011,,2,60,,38,8,6.5.2015,,
6359,Kokosova torta,10.4.2006,,3,,Tortni model 24 cm,280,39,28.2.2015,,
13180,Orehovo pecivo,12.11.2009,,1,45,,60,12,21.7.2014,,
14831,Piščanec z rižem v pečici,3.3.2011,,2,60,4 osebe,134,32,27.3.2016,,
2096,Buhteljni,22.10.2002,,3,120,,141,47,6.10.2016,,
11044,Ledena torta Karmen,5.2.2008,,3,120,12 oseb,224,87,27.7.2016,,
13505,Trikrat pečeno pecivo,14.2.2010,,2,60,pekač cca. 32 x 25,45,11,7.6.2016,,
13016,Skutino pecivo,29.9.2009,,2,60,,52,11,3.10.2015,,
13379,Božično novoletni piškoti,31.12.2009,,2,45,,79,27,1.1.2016,,
1190,Sočno skutino pecivo,29.5.2001,,1,,,113,10,3.7.2012,,
4440,Moj domači kruh,28.12.2004,,1,,1 kg kruha,121,27,19.2.2016,,
65,Musaka,2.10.2000,,3,,,88,7,26.3.2014,,
4377,Preprosti keksi,4.12.2004,,1,90,40 piškotov,123,37,3.10.2015,,
11201,Kraljevski krompir,13.3.2008,,2,45,,140,20,11.5.2016,,
14392,Klasična mesna lazanja,9.11.2010,,3,60,za 4 osebe,43,10,19.2.2016,,
14137,Ameriške palačinke,5.9.2010,,2,15,12 palačink,125,44,27.9.2016,,
1667,Potratna potica št. 2,30.1.2002,,4,180,,119,35,5.4.2015,,
13276,Piščančji file v listnatem testu,9.12.2009,,1,60,Za 4 osebe,77,23,28.5.2016,,
16159,Ferrero torta,8.12.2011,,3,60,,119,52,31.1.2016,,
4123,Rumove kroglice,7.10.2004,,1,30,,54,18,26.9.2015,,
16802,"Čokoladna torta (presna, veganska)",4.3.2012,,1,45,,103,22,21.6.2015,,Bolj zdrava jed
380,Pijana nevesta,12.7.1999,,2,60,,85,9,3.10.2015,,
1670,Pasulj,1.2.2002,,1,,za 4 osebe,54,1,24.11.2008,,
3726,Bezgov sirup,4.6.2004,,1,,,144,4,23.6.2015,,
6140,Goveji zrezki v omaki,23.2.2006,,2,,za 2 osebi,68,5,3.4.2016,,
1276,Sacher torta,8.8.2001,,1,,,114,47,12.7.2016,,
11629,Zdrav pirin kruh dr. Nine,17.8.2008,,1,75,1 hlebec,96,19,11.6.2015,,Bolj zdrava jed
393,Rižev narastek,2.6.2000,,1,75,,85,10,3.2.2015,,
4000,Rafaelo pecivo,5.9.2004,,1,,,84,10,6.7.2015,,
7199,Polnjena paprika na klasičen način,20.9.2006,,3,180,8 - 10 paprik,56,6,24.9.2013,,
