id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed
10029,Mešano meso izpod peke,5.5.2007,mamamia,ženska,120 minut,za deset oseb,12,4,27.12.2014,mesne jedi, ostalo,
10035,Salsa -Tuna tortilje,7.5.2007,A.Jerneja,ženska,15 minut,za 2 tortilji,21,3,1.10.2015,eksotika, ostale dežele,
10068,"Narastek iz ajdove kaše, skute in zelenjave",15.5.2007,fresh,spol ni določen oz. marsovec,90 minut,4 osebe,10,4,3.4.2016,zelenjavne jedi,,Bolj zdrava jed
10070,Božanska čokoladna rulada,16.5.2007,vitajan,ženska,60 minut,,197,25,31.1.2016,sladice, pecivo,
10074,Bajadera ,16.5.2007,stana.r,ženska,30 minut,,63,12,8.3.2016,sladice, pecivo,
10078,"Atomski ""štrudl""",17.5.2007,lidia,ženska,75 minut,,74,7,3.8.2011,sladice, pecivo,
10079,Jogurtovo - sadna torta,18.5.2007,stana.r,ženska,240 minut,,75,17,17.5.2015,sladice, torte,
10083,Višnjeve kroglice,18.5.2007,valeria,ženska,60 minut,30 kroglic,23,7,25.12.2015,sladice, ostalo,
10088,Jagodna torta z jogurtovo - skutno kremo,21.5.2007,ksenjako,ženska,45 minut,16 kosov,49,37,12.7.2016,sladice, torte,
10096,Biskvit brez jajc in mleka,23.5.2007,barb_b,ženska,60 minut,,15,1,6.9.2007,sladice, pecivo,
10104,Svež češnjev biskvit,26.5.2007,gooffy,moški,30 minut,standarden pekač,19,4,20.6.2016,sladice, pecivo,
10113,Rolada z jagodno - mascarpone kremo,31.5.2007,jade,ženska,60 minut,18 koščkov,36,8,21.7.2014,sladice, pecivo,
10121,Ledena mascarpone torta,4.6.2007,mamamia,ženska,120 minut,za deset oseb,28,10,4.4.2016,sladice, torte,
10124,Čokoladni piškoti z vanilijevo kremo,5.6.2007,anja27,ženska,90 minut,45 piškotov,46,14,25.12.2015,sladice, piškoti,
10127,Fruc rezine,6.6.2007,juditat,ženska,60 minut,,29,7,25.7.2015,sladice, pecivo,
10130,Sticky fingers,7.6.2007,anya_raikkonen,ženska,15 minut,,37,3,19.12.2007,mesne jedi, perutnina,
10132,Skutina  pita,8.6.2007,ursula.s,spol ni določen oz. marsovec,90 minut,,28,5,16.3.2016,sladice, pecivo,
10137,Mascarpone spekulas torta,9.6.2007,Venturini,ženska,15 minut,12 kosov,54,15,2.4.2013,sladice, torte,
10150,Malinovi polnozrnati zalogajčki,14.6.2007,anja27,ženska,45 minut,30 piškotov,61,16,16.11.2014,sladice, piškoti,
10155,Fina skutina torta,15.6.2007,mamamia,ženska,60 minut,za model s premerom 26 cm,96,42,21.7.2014,sladice, torte,
10169,Bučke s paradižnikom in sirom,23.6.2007,npovod1,ženska,60 minut,Za eno osebo,31,2,8.8.2008,zelenjavne jedi,,
10176,Rolada z malinami in mascarponejem ,25.6.2007,fleur,spol ni določen oz. marsovec,30 minut,15-20 koščkov,10,3,5.11.2013,sladice, ostalo,
10178,Piščančji zrezki v omaki,26.6.2007,npovod1,ženska,75 minut,za 2 osebi,20,2,23.6.2007,mesne jedi, mešano meso,
10189,Rafaelo kroglice,29.6.2007,doriika,ženska,30 minut,,70,21,28.12.2015,sladice, pecivo,
10196,Polnjene bučke,1.7.2007,MissLady,ženska,60 minut,2 osebi,19,3,30.6.2011,predjedi, tople,
10197,Bučni polpeti,1.7.2007,MissLady,ženska,45 minut,9 polpetov,133,18,23.8.2015,zelenjavne jedi,,
10202,Majhni babičini prigrizki,2.7.2007,anja.sr,ženska,30 minut,,15,4,26.10.2007,predjedi, hladne,
10205,Piščančji trakci v smetanovi omaki,3.7.2007,a1,ženska,30 minut,za 2 osebi,73,10,20.3.2013,mesne jedi, perutnina,
10222,Bananino pecivo,7.7.2007,SLONCICA,ženska,60 minut,,12,4,25.4.2015,sladice, pecivo,
10225,Solata iz stročjega fižola ,7.7.2007,Dorothea,ženska,120 minut,,17,4,27.9.2007,ozimnica, ostalo,
10234,Buhtlji,11.7.2007,titta,ženska,120 minut,približno 16 kosov,57,14,10.11.2015,sladice, ostalo,
10238,Bučni polpeti po Paulino,12.7.2007,Paula,ženska,30 minut,za 4-5 oseb,26,4,17.6.2012,zelenjavne jedi,,Bolj zdrava jed
10239,Goveji golaž,12.7.2007,Taia,ženska,180 minut,,24,1,9.7.2007,mesne jedi, govedina,
10247,Trojne čokoladne kocke,17.7.2007,jade,ženska,120 minut,16 kosov,124,30,18.5.2014,sladice, pecivo,
10252,Bounty malo drugače,22.7.2007,tinik@,ženska,120 minut,,11,1,3.10.2011,sladice, pecivo,
10259,Klasični Cheesecake,26.7.2007,Leteja,ženska,75 minut,12 kosov,33,15,16.11.2015,sladice, torte,
10264,Skutina pita z borovnicami,27.7.2007,Roncolino,ženska,90 minut,,15,3,8.1.2009,sladice, pecivo,
10267,Rafaelo rezine,28.7.2007,evamaja,ženska,45 minut,,21,5,27.9.2016,sladice, pecivo,
10273,Jogurtova torta brez pečenja,30.7.2007,piaa,ženska,30 minut,,35,6,9.7.2015,sladice, torte,
10275,Rafaelo kocke,1.8.2007,anja89,ženska,75 minut,,12,2,22.11.2015,sladice, pecivo,
10276,Boranja,1.8.2007,a1,ženska,45 minut,za 4 osebe,25,3,23.7.2015,enolončnice,,
10278,Slani mafini z bučkami,1.8.2007,Jelenckova,spol ni določen oz. marsovec,60 minut,cca 12,39,5,8.3.2012,sladice, slano pecivo,
10279,Ledene kocke,14.2.2008,DEKLINA,ženska,75 minut,,24,7,14.7.2014,sladice, ostalo,
10299,Murkov zos,6.8.2007,Majuscka,ženska,45 minut,Za 4 do 5 oseb,11,1,18.8.2008,enolončnice,,
10330,Ajdovi žganci,12.8.2007,veverica,ženska,45 minut,za 4 osebe,18,1,7.12.2008,priloge, ostalo,
10358,Jagodno - borovničeva svečana torta,22.8.2007,jade,ženska,4+ ur,12 kosov,163,77,1.2.2016,sladice, torte,
10366,Bučkina omaka,23.8.2007,a1,ženska,30 minut,,18,1,3.9.2007,omake, tople,
10373,Metino-melisin sirup,24.8.2007,berny,ženska,15 minut,,66,5,18.7.2016,napitki, brezalkoholni,
10379,Slastno pecivo s slivami,28.8.2007,patrisha,spol ni določen oz. marsovec,75 minut,,30,4,22.10.2010,sladice, pecivo,
10393,Testeninska solata,30.8.2007,darjuška,ženska,15 minut,,3,1,28.8.2007,solate,,
10404,Božična marmelada,1.9.2007,Jelenckova,spol ni določen oz. marsovec,90 minut,,31,3,6.1.2012,ozimnica, sladki shranki,
10406,Gosti jagodni sok.,1.9.2007,patricia 3,ženska,90 minut,,6,2,18.6.2011,napitki, brezalkoholni,
