id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
3603,Torta Nutella,20.4.2004,"{'id': '1bdv35xaykwwsb40', 'avtor': 'šjorca'}",ženska,75,,1079,477,6.9.2016,, torte,0,2016,2004,1bdv35xaykwwsb40
12619,Čokoladno - mascarponejeve kocke,16.5.2009,"{'id': 'k5k7au0hrsfu2zqd', 'avtor': 'stana.r'}",ženska,45,,513,91,18.5.2016,, pecivo,0,2016,2009,k5k7au0hrsfu2zqd
8100,Skutino pecivo za požrešne sosede,12.10.2006,"{'id': '1bdv35xaykwwsb40', 'avtor': 'šjorca'}",ženska,,,299,59,17.4.2016,, pecivo,0,2016,2006,1bdv35xaykwwsb40
5814,"Biskvit za torto, ki nikoli ne pade dol",4.12.2005,"{'id': 'jasnalekan', 'avtor': 'JasnaLekan'}",ženska,45,,339,246,29.1.2016,, ostalo,0,2016,2005,jasnalekan
4364,Super dobra jabolčna pita,29.11.2004,"{'id': 'ucs4w5y9tqcoxg5o', 'avtor': 'p|na'}",ženska,90,,171,62,28.5.2016,, pecivo,0,2016,2004,ucs4w5y9tqcoxg5o
9431,Moji mehki medenjaki,22.12.2006,"{'id': 'kyara', 'avtor': 'Kyara'}",ženska,,,329,141,28.12.2015,, piškoti,0,2015,2006,kyara
4026,Njami bučke s sirom,13.9.2004,"{'id': 'p8uwoece9l1wgagg', 'avtor': 'coco chanel'}",ženska,,,240,35,16.8.2016,,,0,2016,2004,p8uwoece9l1wgagg
6549,Odlično testo za pizzo,5.5.2006,"{'id': 'Blanchy', 'avtor': 'Blanchy'}",ženska,90,dva pekača,314,46,8.3.2016,,,0,2016,2006,Blanchy
1176,Orehova potica,10.5.2001,"{'id': 'Loni', 'avtor': 'Loni'}",spol ni določen oz. marsovec,300,,261,65,28.4.2016,, potice,0,2016,2001,Loni
1773,Kruhovi cmoki,27.3.2002,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,,136,12,19.2.2016,, cmoki,0,2016,2002,riko
4551,Kokosove rezine,24.1.2005,"{'id': 'k5k7au0hrsfu2zqd', 'avtor': 'stana.r'}",ženska,60,,278,44,19.2.2016,, pecivo,0,2016,2005,k5k7au0hrsfu2zqd
6221,Najboljši marmorni kolač,12.3.2006,"{'id': 'e8f6n48nx9z67ata', 'avtor': 'teta torta'}",ženska,,,229,54,18.1.2016,, pecivo,0,2016,2006,e8f6n48nx9z67ata
2789,Piščančji žur,12.8.2003,"{'id': 'matic', 'avtor': 'MATIC'}",spol ni določen oz. marsovec,,,352,16,2.2.2014,, perutnina,0,2014,2003,matic
5851,Razpokani piškoti,11.12.2005,"{'id': 'marelica', 'avtor': 'marelica'}",ženska,60,50 kos,265,55,28.12.2014,, piškoti,0,2014,2005,marelica
10070,Božanska čokoladna rulada,16.5.2007,"{'id': 'vitajan', 'avtor': 'vitajan'}",ženska,60,,197,25,31.1.2016,, pecivo,0,2016,2007,vitajan
11564,»Narkočok« Muffini,22.7.2008,"{'id': '1bdv35xaykwwsb40', 'avtor': 'šjorca'}",ženska,30,12 kom,182,51,15.2.2016,, ostalo,0,2016,2008,1bdv35xaykwwsb40
3309,Čufti v paradižnikovi omaki,28.2.2004,"{'id': 'ligojna', 'avtor': 'ligojna'}",ženska,,4 osebe,121,7,8.12.2013,, mešano meso,0,2013,2004,ligojna
2785,Babičina dobrota,11.8.2003,"{'id': 'suzanaz', 'avtor': 'SUZANAZ'}",ženska,45,,266,44,18.7.2016,, pecivo,0,2016,2003,suzanaz
6783,Malinovo - jogurtova sanjsko fina torta,20.6.2006,"{'id': 'boonkoo', 'avtor': 'boonkoo'}",ženska,90,,150,62,17.8.2016,, torte,0,2016,2006,boonkoo
4670,Pustni krofi,15.2.2005,"{'id': 'n44bs0kszsickmks', 'avtor': 'Tanja Kocjan'}",ženska,90,za 24 kosov,410,93,28.2.2016,, pecivo,0,2016,2005,n44bs0kszsickmks
4255,Kokosova potica,31.10.2004,"{'id': 'milanka', 'avtor': 'MILANKA'}",ženska,180,velik pekač ali okrogel model,205,35,1.1.2016,, potice,0,2016,2004,milanka
10197,Bučni polpeti,1.7.2007,"{'id': 'misslady', 'avtor': 'MissLady'}",ženska,45,9 polpetov,133,18,23.8.2015,,,0,2015,2007,misslady
5684,Čokoladni huzarski krapki,1.11.2005,"{'id': 'anja27', 'avtor': 'anja27'}",ženska,,32 piškotov,337,89,20.3.2015,, piškoti,0,2015,2005,anja27
3866,Kinder pingvin (2.verzija),21.7.2004,"{'id': 'pina', 'avtor': 'pina'}",ženska,120,,207,47,16.8.2016,, pecivo,0,2016,2004,pina
17686,Cake pops,29.9.2012,"{'id': 'roncolino', 'avtor': 'Roncolino'}",ženska,120,cca. 40 kosov,140,114,14.6.2016,, ostalo,0,2016,2012,roncolino
1426,Pecivo ''na suho'',7.11.2001,"{'id': 'rene', 'avtor': 'rene'}",ženska,,,276,27,2.12.2014,, pecivo,0,2014,2001,rene
1553,Sarma a la Riko,12.12.2001,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,,113,8,5.1.2016,, ostalo,0,2016,2001,riko
17588,"Kokosovi piškotki- ""Biscottini cocco""",2.9.2012,"{'id': 'ledenka_', 'avtor': 'ledenka_'}",ženska,45,približno 60 piškotkov,176,41,15.2.2016,, piškoti,0,2016,2012,ledenka_
14811,Jogurtovo pecivo s sadjem,26.2.2011,"{'id': 'msegov', 'avtor': 'msegov'}",spol ni določen oz. marsovec,60,,38,8,6.5.2015,, pecivo,0,2015,2011,msegov
6359,Kokosova torta,10.4.2006,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,Tortni model 24 cm,280,39,28.2.2015,, torte,0,2015,2006,riko
13180,Orehovo pecivo,12.11.2009,"{'id': 'tjanca', 'avtor': 'Tjanca'}",ženska,45,,60,12,21.7.2014,, pecivo,0,2014,2009,tjanca
14831,Piščanec z rižem v pečici,3.3.2011,"{'id': 'KuharicaStoja', 'avtor': 'KuharicaStoja'}",ženska,60,4 osebe,134,32,27.3.2016,, perutnina,0,2016,2011,KuharicaStoja
2096,Buhteljni,22.10.2002,"{'id': 'anazus', 'avtor': 'anazus'}",ženska,120,,141,47,6.10.2016,, pecivo,0,2016,2002,anazus
11044,Ledena torta Karmen,5.2.2008,"{'id': 'evamaja', 'avtor': 'evamaja'}",ženska,120,12 oseb,224,87,27.7.2016,, torte,0,2016,2008,evamaja
13505,Trikrat pečeno pecivo,14.2.2010,"{'id': 'damjanas', 'avtor': 'damjanas'}",ženska,60,pekač cca. 32 x 25,45,11,7.6.2016,, pecivo,0,2016,2010,damjanas
